Microsoft Windows [Versione 10.0.17134.345]
(c) 2018 Microsoft Corporation. Tutti i diritti sono riservati.

C:\Users\Andi>CD c:\Users\Andi\Documents\iperf-3.1.3-win64

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
iperf3: interrupt - the client has terminated

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
Connecting to host 192.168.2.140, port 5201
[  4] local 192.168.2.236 port 55020 connected to 192.168.2.140 port 5201
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4] 137.00-138.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 138.00-139.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 139.00-140.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 140.00-141.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 141.00-142.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 142.00-143.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 143.00-144.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 144.00-145.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 145.00-146.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 146.00-147.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 147.00-148.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 148.00-149.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 149.00-150.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 150.00-151.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 151.00-152.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 152.00-153.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 153.00-154.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 154.00-155.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 155.00-156.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 156.00-157.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 157.00-158.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 158.00-159.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 159.00-160.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 160.00-161.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 161.00-162.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
